label,text,example
numpy.empty,"Return a new array of given shape and type, without initializing entries.","<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">empty</span><span class=""p"">([</span><span class=""mi"">2</span><span class=""p"">,</span> <span class=""mi"">2</span><span class=""p"">])</span>
<span class=""go"">array([[ -9.74499359e+001,   6.69583040e-309],</span>
<span class=""go"">       [  2.13182611e-314,   3.06959433e-309]])         #uninitialized</span>
</pre>"
numpy.empty_like,Return a new array with the same shape and type as a given array.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span> <span class=""o"">=</span> <span class=""p"">([</span><span class=""mi"">1</span><span class=""p"">,</span><span class=""mi"">2</span><span class=""p"">,</span><span class=""mi"">3</span><span class=""p"">],</span> <span class=""p"">[</span><span class=""mi"">4</span><span class=""p"">,</span><span class=""mi"">5</span><span class=""p"">,</span><span class=""mi"">6</span><span class=""p"">])</span>                         <span class=""c1""># a is array-like</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">empty_like</span><span class=""p"">(</span><span class=""n"">a</span><span class=""p"">)</span>
<span class=""go"">array([[-1073741821, -1073741821,           3],    # uninitialized</span>
<span class=""go"">       [          0,           0, -1073741821]])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">array</span><span class=""p"">([[</span><span class=""mf"">1.</span><span class=""p"">,</span> <span class=""mf"">2.</span><span class=""p"">,</span> <span class=""mf"">3.</span><span class=""p"">],[</span><span class=""mf"">4.</span><span class=""p"">,</span><span class=""mf"">5.</span><span class=""p"">,</span><span class=""mf"">6.</span><span class=""p"">]])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">empty_like</span><span class=""p"">(</span><span class=""n"">a</span><span class=""p"">)</span>
<span class=""go"">array([[ -2.00000715e+000,   1.48219694e-323,  -2.00000572e+000], # uninitialized</span>
<span class=""go"">       [  4.38791518e-305,  -2.00000715e+000,   4.17269252e-309]])</span>
</pre>"
numpy.eye,Return a 2-D array with ones on the diagonal and zeros elsewhere.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">eye</span><span class=""p"">(</span><span class=""mi"">2</span><span class=""p"">,</span> <span class=""n"">dtype</span><span class=""o"">=</span><span class=""nb"">int</span><span class=""p"">)</span>
<span class=""go"">array([[1, 0],</span>
<span class=""go"">       [0, 1]])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">eye</span><span class=""p"">(</span><span class=""mi"">3</span><span class=""p"">,</span> <span class=""n"">k</span><span class=""o"">=</span><span class=""mi"">1</span><span class=""p"">)</span>
<span class=""go"">array([[0.,  1.,  0.],</span>
<span class=""go"">       [0.,  0.,  1.],</span>
<span class=""go"">       [0.,  0.,  0.]])</span>
</pre>"
numpy.identity,Return the identity array.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">identity</span><span class=""p"">(</span><span class=""mi"">3</span><span class=""p"">)</span>
<span class=""go"">array([[1.,  0.,  0.],</span>
<span class=""go"">       [0.,  1.,  0.],</span>
<span class=""go"">       [0.,  0.,  1.]])</span>
</pre>"
numpy.ones,"Return a new array of given shape and type, filled with ones.","<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">ones</span><span class=""p"">(</span><span class=""mi"">5</span><span class=""p"">)</span>
<span class=""go"">array([1., 1., 1., 1., 1.])</span>
</pre>"
numpy.ones_like,Return an array of ones with the same shape and type as a given array.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">x</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">arange</span><span class=""p"">(</span><span class=""mi"">6</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">x</span> <span class=""o"">=</span> <span class=""n"">x</span><span class=""o"">.</span><span class=""n"">reshape</span><span class=""p"">((</span><span class=""mi"">2</span><span class=""p"">,</span> <span class=""mi"">3</span><span class=""p"">))</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">x</span>
<span class=""go"">array([[0, 1, 2],</span>
<span class=""go"">       [3, 4, 5]])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">ones_like</span><span class=""p"">(</span><span class=""n"">x</span><span class=""p"">)</span>
<span class=""go"">array([[1, 1, 1],</span>
<span class=""go"">       [1, 1, 1]])</span>
</pre>"
numpy.zeros,"Return a new array of given shape and type, filled with zeros.","<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">zeros</span><span class=""p"">(</span><span class=""mi"">5</span><span class=""p"">)</span>
<span class=""go"">array([ 0.,  0.,  0.,  0.,  0.])</span>
</pre>"
numpy.zeros_like,Return an array of zeros with the same shape and type as a given array.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">x</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">arange</span><span class=""p"">(</span><span class=""mi"">6</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">x</span> <span class=""o"">=</span> <span class=""n"">x</span><span class=""o"">.</span><span class=""n"">reshape</span><span class=""p"">((</span><span class=""mi"">2</span><span class=""p"">,</span> <span class=""mi"">3</span><span class=""p"">))</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">x</span>
<span class=""go"">array([[0, 1, 2],</span>
<span class=""go"">       [3, 4, 5]])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">zeros_like</span><span class=""p"">(</span><span class=""n"">x</span><span class=""p"">)</span>
<span class=""go"">array([[0, 0, 0],</span>
<span class=""go"">       [0, 0, 0]])</span>
</pre>"
numpy.full,"Return a new array of given shape and type, filled with fill_value.","<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">full</span><span class=""p"">((</span><span class=""mi"">2</span><span class=""p"">,</span> <span class=""mi"">2</span><span class=""p"">),</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">inf</span><span class=""p"">)</span>
<span class=""go"">array([[inf, inf],</span>
<span class=""go"">       [inf, inf]])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">full</span><span class=""p"">((</span><span class=""mi"">2</span><span class=""p"">,</span> <span class=""mi"">2</span><span class=""p"">),</span> <span class=""mi"">10</span><span class=""p"">)</span>
<span class=""go"">array([[10, 10],</span>
<span class=""go"">       [10, 10]])</span>
</pre>"
numpy.full_like,Return a full array with the same shape and type as a given array.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">x</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">arange</span><span class=""p"">(</span><span class=""mi"">6</span><span class=""p"">,</span> <span class=""n"">dtype</span><span class=""o"">=</span><span class=""nb"">int</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">full_like</span><span class=""p"">(</span><span class=""n"">x</span><span class=""p"">,</span> <span class=""mi"">1</span><span class=""p"">)</span>
<span class=""go"">array([1, 1, 1, 1, 1, 1])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">full_like</span><span class=""p"">(</span><span class=""n"">x</span><span class=""p"">,</span> <span class=""mf"">0.1</span><span class=""p"">)</span>
<span class=""go"">array([0, 0, 0, 0, 0, 0])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">full_like</span><span class=""p"">(</span><span class=""n"">x</span><span class=""p"">,</span> <span class=""mf"">0.1</span><span class=""p"">,</span> <span class=""n"">dtype</span><span class=""o"">=</span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">double</span><span class=""p"">)</span>
<span class=""go"">array([0.1, 0.1, 0.1, 0.1, 0.1, 0.1])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">full_like</span><span class=""p"">(</span><span class=""n"">x</span><span class=""p"">,</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">nan</span><span class=""p"">,</span> <span class=""n"">dtype</span><span class=""o"">=</span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">double</span><span class=""p"">)</span>
<span class=""go"">array([nan, nan, nan, nan, nan, nan])</span>
</pre>"
